dist,radius
3432.000244,43.5957718
3434,44.4359932
3436,45.1625748
3439.000244,46.3035851
3441,47.6799774
3443,49.0655212
3445.000244,50.3798027
3447,51.7489204
3450,53.5405159
3452.000244,55.8633995
3454,58.6556664
3457,61.6960335
3459,64.5587997
3462.000244,68.6374054
3464,73.7981644
3466,79.3731079
3469,84.5098343
3471.000244,90.3916092
3474,97.4286728
3477,104.8328171
3479,111.712616
3482,117.7594833
3485.000244,123.9804764
3488.000244,131.3558197
3490,139.8570862
3493,148.8958893
3496,157.3272095
3499,166.5273438
3502,177.5331421
3505,187.7312317
3509,192.0447083
3512,193.158905
3515,192.0447083
3518.000244,188.9920654
3521.000244,177.1161957
3524.000244,162.9048615
3528,150.3422546
3531.000244,140.5241699
3534.000244,129.9182281
3537.000244,120.7576828
3540.000244,114.3184662
3542,110.5801926
3545,106.3227158
3548,103.1472244
3551,101.2525101
3554.000244,100.3947678
3557.000244,100.0833206
3560.000244,99.6289978
3563,99.3587418
3566,98.9282227
3569,98.217926
3572,97.4774475
3575,96.9565506
3578,96.5994186
3581,96.5994186
3584,98.0395279
3587.000244,100.9907379
3590.000244,102.9392853
3593.000244,107.5694275
3597,115.4962311
3600.000244,126.4319839
3603.000244,138.9733429
3606.000244,154.1563263
3609,177.3988342
3613.000244,209.2258148
3616.000244,245.1926727
3619.000244,276.1908264
3623.000244,328.425293
3626.000244,389.660614
3630,441.9341736
3633.000244,468.3187561
3637,472.7399902
3640,478.8258667
3644,478.8258667
3648,468.2128906
3651,456.2635193
3655,445.8952332
3659.000244,436.6151123
3662.000244,426.6252136
3666.000244,417.8335266
3670,412.1557617
3674,411.2319946
3678,411.0055542
3681,411.0055542
3685.000244,422.2493286
3689.000244,444.1550293
3693,476.0458374
3696,508.78125
3700,564.0028076
3704,564.0028076
3707,510.2038269
3711,292.1066895
3714,292.1066895
3717,328.0565186
3721.000244,328.0565186
3724,262.6256714
3728.000244,221.5558014
3731.000244,194.8903046
3734,171.4151917
3737,154.9277496
3741.000244,145.4687958
3744.000244,141.3694763
3747,135.4162292
3750,132.3477783
3754.000244,132.3477783
3757,133.3867188
3760,135.2116241
3763,137.262085
3767.000244,139.6547089
3770,141.3107605
3773,141.3107605
3777.000244,141.2920532
3780,141.1885223
3783,140.3675232
3787.000244,139.3762817
3790.000244,138.7240448
3794.000244,138.5523376
3797.000244,138.1533356
3800.000244,138.1533356
3804.000244,139.0590668
3807.000244,140.7486267
3811,143.1564331
3814.000244,145.2913513
3818,148.9030304
3821,154.3291016
3824,161.3271942
3828,169.0573883
3831,176.4562683
3835,186.9876099
3839,199.3771667
3842,210.476181
3846.000244,217.4375458
3849,227.4279633
3853.000244,234.4153137
3857,236.6763306
3861,236.7125092
3865,236.6763306
3868,236.7125092
3872,237.0067596
3876.000244,241.8497009
3880,251.2064667
3884,264.241272
3888,275.7291565
3891,295.940094
3895,325.3473816
3899.000244,360.5905151
3903,395.1628723
3907,443.8074646
3911,507.6521912
3915.000244,578.6955566
3920,640.3679199
3924,681.1693726
3928,738.7723389
3932.000244,788.3807983
3936,824.0059204
3941,846.2348633
3945.000244,860.4188843
3949,877.0325317
3953,892.1663818
3958.000244,905.6884766
3962.000244,916.2503052
3967,922.9141846
3971.000244,928.8049316
3975.000244,934.5852661
3980,940.5283203
3984,948.494751
3989,960.9985352
3993.000244,973.3128052
3998,995.0373535
4001.999756,1030.577881
4007,1081.70752
4010.999756,1146.58252
4015.999756,1205.026856
4021,1305.323608
4024.999512,1458.255737
4029.999756,1659.474243
4034.999756,1873.674683
4039,2232.532959
4043.999756,2803.365234
4048.999756,3618.57959
4053,4387.507813
4057.999512,4387.507813
4062.999756,3524.514648
4067.999756,3524.514648
4073,4970.929688
4076.999756,5271.258789
4081.999756,5271.258789
4087,4885.81543
4092,4597.751953
4095.999756,4597.751953
4101,4674.869629
4106,4997.814941
4109.999512,5092.149414
4115,5092.149414
4120,2987.412842
4124,2987.412842
4128.999512,3491.986572
4133,4012.893066
4136.999512,4012.893066
4141,3595.182861
4146,3309.973633
4149.999512,3148.678955
4154,2925.952148
4158,2742.41333
4161,2553.946289
4165,2333.790039
4168.999512,2104.402588
4172,1936.026367
4175.999512,1719.092285
4179,1505.605225
4181.999512,1337.924927
4186,1257.622925
4188.999512,1146.137085
4192,1033.12439
4194.999512,953.6998291
4198,883.4128418
4200.999512,748.1816406
4203,612.4960938
4206,500.5782471
4208.999512,406.4441528
4211,329.8743286
4213.999512,270.1455688
4216,231.657486
4219,187.4819336
4220.999512,147.9883423
4223,119.6387939
4226,101.6347961
4227.999512,89.3078537
4230,79.1351395
4232,71.9552383
4233.999512,67.2197113
4236,62.7103653
4237,59.2513542
4239,56.5070992
4240.999512,52.1657753
4243,48.0386276
4245,46.601738
4246.999512,45.7702942
4249,45.7702942
4251,46.0986671
4253,47.3545113
4254.999512,49.1363335
4257,50.6269836
4259,53.134861
4260.999512,56.5144577
4263,60.1176376
4266,62.9900398
4267.999512,66.3750153
4270,69.1667404
4272,69.1667404
4274.999512,68.4175568
4277,66.1428528
4279,64.8403778
4280.999512,63.0152435
4284,62.130394
4286,62.130394
4287.999512,64.0430908
4291,64.6289749
4292.999512,67.4988403
4296,73.3105545
4298,82.174614
4300.999512,92.8465271
4303,106.1747665
4306,112.936058
4307.999512,112.936058
4311,111.9182434
4313.999512,111.9182434
4317,160.4676514
4319,160.4676514
4322,142.6427612
4325,130.1317596
4328,124.0513229
4331,117.3362961
4333.999512,114.4513931
4337,114.4513931
4338.999512,118.1712494
4342,124.1374512
4345,129.0432892
4348,137.9248657
4352,150.3572083
4355,164.2521667
4358,176.7167664
4361,192.796524
4364,210.5469055
4368,225.5003967
4371,231.7475281
4374,232.8623962
4378,231.7475281
4381,227.6918945
4384.999512,214.8127747
4388,200.0339203
4391.999512,187.4179688
4395,177.8439789
4398.999512,167.6578827
4402,159.0997314
4404.999512,153.386795
4409,150.5066528
4411.999512,146.7387543
4416,144.8373718
4418.999512,144.8373718
4423,147.2627869
4425.999512,151.4428253
4430,155.0742493
4434,161.8987427
4437,172.1081238
4441,184.9997406
4444,199.2919006
4448,216.8241119
4451.999512,242.6618347
4455,278.04245
4458.999512,318.0714722
4462,341.3955688
4466,341.3955688
